NO,COMPONENT,QTY,PRICE,URL
1,Micro tactile switch,6,8.50Rs($0.0991),https://ebhoot.in/shop-2/electronics-components/switch-push-button/2pin-round-pushbutton-spst-straight-tactile-micro-switch-through-hole/
2,3.5 mm audio jack,5,20.9Rs($0.3436),https://sharvielectronics.com/product/pj-359-b-3-5mm-pcb-mount-3-pin-socket-headphone-stereo-jack-audio/
3,TP4056 charging board,1,18.88Rs($0.22),https://ebhoot.in/shop-2/electronics-modules/bms-module-battery-charging-module/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/
4,1800mAh Li-ion battery,1,365Rs($4.2539),https://sharvielectronics.com/product/lipo-rechargeable-battery-3-7v-1800mah-model-kp-503548/
5,capacitors 10uf/50v,4,9.44Rs($0.11),https://ebhoot.in/shop-2/electronics-components/capacitors/10uf-50v-electrolytic-capacitor/?
6,Memory card,1,389Rs($4.5336),https://sharvielectronics.com/product/official-raspberry-pi-32gb-micro-sd-card-a2-class-unprogrammed/
7,DF mini player,1,80.24Rs($0.096),https://ebhoot.in/shop-2/electronics-modules/amplifier-modules/dfplayer-mini-mp3-player-module-mp3-voice-decode-board-supporting-tf-card-u-disk-io-serial-port-ad-mp3-tf-16p/
8,Jumper wires,1Pac,76.76Rs($0.8946)),https://sharvielectronics.com/product/male-to-male-jumper-wire-connector-40-pieces
9,Zeb calyx Earphones,1,399Rs($4.6501)),https://www.amazon.in/gp/product/B07XCX1P4P/ref=ox_sc_act_title_1?smid=AJ6SIZC8YQDZX&psc=1
10,3 mm Philip screw,10,57.8Rs($0.6736)),https://sharvielectronics.com/product/m3x10mm-phillips-head-mounting-screw-stainless-steel/
11,3D print,1,696RsRs($8.1115)),https://github.com/MithilSaiReddy/mp3-player/blob/main/assets/3Ding%20_quote.png
--,Total(including delivery costs),--,2146Rs($26),--